#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,prop1
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:55.078Z,14.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:56.898Z,21.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:58.917Z,21.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:00.767Z,19.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:02.701Z,22.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:04.643Z,52.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:06.58Z,23.7,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:08.516Z,33.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:10.44Z,24.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:12.408Z,43.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:14.319Z,32.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:16.269Z,30.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:17.292Z,15.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:18.297Z,8.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:20.171Z,16.7,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:22.14Z,16.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:23.205Z,13.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:25.081Z,5.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:26.942Z,13.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:27.947Z,18.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:28.948Z,7.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:30.764Z,23.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:32.707Z,13.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:34.637Z,2.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:36.582Z,18.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:38.522Z,14.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:40.458Z,13.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:42.397Z,14.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:43.412Z,20.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:45.3Z,23.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:47.3Z,11.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:49.19Z,11.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:50.216Z,16.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:52.155Z,24.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:54.154Z,42.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:55.99Z,36.7,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:57.961Z,26.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:35:59.805Z,41.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:01.753Z,41.2,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:03.683Z,33.7,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:05.627Z,34.7,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:07.547Z,34.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:09.492Z,19.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:11.433Z,31.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:12.433Z,25.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:14.332Z,21.2,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:16.303Z,16.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:18.298Z,18.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:20.205Z,17.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:21.238Z,27.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:23.095Z,22.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:24.158Z,24.6,angleTrue,environment,wind
