#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,prop1
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:15.853Z,14.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:17.756Z,5.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:18.773Z,5.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:20.669Z,20.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:21.697Z,20.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:23.579Z,36.2,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:24.64Z,36.3,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:26.494Z,35.2,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:28.409Z,30.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:29.461Z,30.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:31.352Z,22.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:32.354Z,12.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:33.367Z,12.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:34.413Z,18.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:36.162Z,1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:37.164Z,1.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:38.227Z,15.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:40.044Z,7.5,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:41.971Z,4.5,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:42.973Z,4.5,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:44.877Z,12.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:46.808Z,16.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:47.828Z,16.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:48.853Z,19.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:50.701Z,7.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:52.639Z,18.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:53.64Z,18.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:55.512Z,15.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:57.452Z,12.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:24:59.403Z,19.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:25:01.366Z,0.5,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:25:02.366Z,0.5,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:25:03.402Z,13.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:25:05.19Z,12.6,angleTrue,environment,wind
