#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,prop1
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:25.575Z,7.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:27.362Z,26,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:29.313Z,19.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:31.235Z,26,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:33.173Z,35,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:35.097Z,34,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:37.045Z,41,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:38.979Z,35,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:40.915Z,21.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:42.838Z,18.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:44.782Z,11,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:46.737Z,17,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:48.662Z,20.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:49.726Z,17,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:51.597Z,19,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:53.498Z,20,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:55.46Z,18.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:56.84Z,17,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:58.346Z,18.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:00.268Z,21,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:02.204Z,19.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:04.155Z,29,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:06.078Z,20,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:08.021Z,9,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:09.938Z,7,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:10.95Z,3,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:12.866Z,7.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:14.817Z,1.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:16.784Z,17.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:18.664Z,18,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:20.6Z,5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:21.658Z,5.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:23.501Z,21.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:24.572Z,24,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:26.405Z,27.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:27.411Z,39,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:29.311Z,7,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:31.243Z,7.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:33.188Z,1,angleApparent,environment,wind
